SNO,JOB TITLE,JOB SKILLS,JOB DESCRIPTION
1,It Recruiter,"US IT Recruitment, IT Recruitment","Job Title: US IT Recruiter
Location: (Bengaluru)
Position Type: Full-Time
Experience: 5+ years recruiting experience, including 3+ years in IT recruitment
Key Focus: Recruiting for US-based IT positions.
Role Scope: Manage full-cycle recruitment, including sourcing, screening, and presenting qualified candidates.
Strategy: Develop and execute creative sourcing strategies using social media, job boards, networking, and referrals.
Ideal Candidate: Strong background in recruiting IT professionals, technical knowledge, and a results-driven mindset.
Requirements: Expertise in IT roles (software development, infrastructure, cybersecurity, cloud, etc.) and proven ability to source passive candidates.
Preferred: Bachelor's degree and experience recruiting for enterprise-level technology organizations."
2,It Recruiter,"Sourcing Profiles, End To End Recruitment, Screening","We are looking for a dynamic and results-driven US IT Recruiter to join our talent acquisition team. The ideal candidate will have experience in end-to-end recruitment processes for US clients, especially within the IT domain.

Key Responsibilities:

Handle the full recruitment cycle: sourcing, screening, interviewing, negotiating, and closing candidates.
Work on W2, C2C, and 1099 employment types.
Source candidates using job boards like Dice, Monster, CareerBuilder, and social platforms like LinkedIn.
Coordinate with hiring managers and understand job requirements.
Maintain a strong pipeline of qualified candidates.
Schedule interviews and follow up with candidates and clients.
Maintain ATS and prepare regular recruitment reports.
Requirements:

3 to 5 years of experience in US IT recruitment.
Strong knowledge of US work authorizations (H1B, GC, USC, TN, etc.).
Hands-on experience with sourcing and screening tools.
Excellent communication and negotiation skills.
Willingness to work in night shifts.
Good to Have:

Experience working with implementation partners or direct clients.
Familiarity with tax terms and visa classifications.
Benefits:

Competitive salary + incentives
Health insurance (if applicable)
Friendly and supportive team culture"
3,It Recruiter,"IT Recruitment, End To End Recruitment, 
Technical Recruitment, Talent Acquisition, Interpersonal Skills","Job Title: Recruiter Tech Hiring (Contractual 6 Months, Extendable

to Full-Time)

Location: Bangalore - Hybrid
Contract Duration: 6 Months (Convertible to Full-Time based on performance)
Experience - 1 to 3 years


Key Responsibilities

End-to-end recruitment for technology and product roles across multiple levels.
Partner with hiring managers and stakeholders to understand role requirements and business priorities.
Develop and execute creative sourcing strategies headhunting, networking, social recruiting, referrals, and market mapping.
Utilize ATS systems and job portals (LinkedIn, Naukri, Indeed, etc.) effectively for candidate management and tracking.
Maintain a robust candidate pipeline through proactive engagement and market intelligence.
Requirements

Proven experience in IT/Product/Startup hiring within a staffing or consulting environment.
Strong expertise in headhunting, Boolean searches, and leveraging multiple sourcing platforms.
Hands-on experience with ATS tools and job portals.
Excellent communication, stakeholder management, and decision-making skills.
Ability to work in a fast-paced, deadline-driven setup.
Innovative thinker with a passion for delivering solutions and results."
4,It Recruiter,"IT Recruitment, C2H, IT Staffing, End To End Recruitment, Domestic Staffing, Technical Recruitment, Talent Acquisition, Recruitment","Hello,

JoulestoWatts is hiring!


Role : IT Recruiter


Experience : 1 Year to 3 years


Positions open: 10


Work Mode : Only Work from Office/ No Hybrid Mode


Interview Mode : Only F2F / No virtual interviews


Notice Period : Immediate joiners or 15 days max


Work Location : Marathahalli, Bangalore


Criteria :


- Should have experience in IT Recruitment

- C2H hiring is must / Client Hiring Experience is must.

- Should know Boolean search.

- Handling End-to-End Core IT Recruitment Life Cycle


Our Official website : www.joulestowatts.com
"
5,It Recruiter,"Sourcing Profiles, End To End Recruitment, 
Screening","We are looking for a dynamic and results-driven US IT Recruiter to join our talent acquisition team. The ideal candidate will have experience in end-to-end recruitment processes for US clients, especially within the IT domain.

Key Responsibilities:

Handle the full recruitment cycle: sourcing, screening, interviewing, negotiating, and closing candidates.
Work on W2, C2C, and 1099 employment types.
Source candidates using job boards like Dice, Monster, CareerBuilder, and social platforms like LinkedIn.
Coordinate with hiring managers and understand job requirements.
Maintain a strong pipeline of qualified candidates.
Schedule interviews and follow up with candidates and clients.
Maintain ATS and prepare regular recruitment reports.
Requirements:

3 to 5 years of experience in US IT recruitment.
Strong knowledge of US work authorizations (H1B, GC, USC, TN, etc.).
Hands-on experience with sourcing and screening tools.
Excellent communication and negotiation skills.
Willingness to work in night shifts.
Good to Have:

Experience working with implementation partners or direct clients.
Familiarity with tax terms and visa classifications.
Benefits:

Competitive salary + incentives
Health insurance (if applicable)
Friendly and supportive team culture"
6,It Recruiter,"IT Recruitment, Technical Hiring, Contract Hiring, Permanent Hiring, Contract To Hire, End To End Recruitment, C2H, IT Hiring, Domestic Staffing, Technical Recruitment, Talent Acquisition","Experience: 1 to 8Years
Work Mode: Full-time, Work from Home (Remote)
Industry Focus: IT Recruitment (C2H / Perm)
Salary Range: 10,000 20,000 per month (Gross) + Mobile Bill + Incentives
Eligibility: Female candidates only (Career Break / Gap Year Accepted)

Responsibilities

Manage end-to-end recruitment lifecycle including sourcing, screening, scheduling, and selection.
Demonstrate expertise in sourcing candidates through job portals (Naukri, Shine, etc.).
Build and manage high-volume recruiting and staffing operations.
Review resumes and job applications to shortlist suitable candidates.
Achieve daily/weekly hiring targets.
Stay updated on recruiting trends, market intelligence, and best practices.
Ensure hiring practices comply with applicable laws and company policies.
Skills & Experience Required

Recruitment Experience: 1 - 8years in IT Recruitment.
Domain Knowledge: C2H and Perm Hiring
Excellent sourcing and screening skills.
Strong communication & interpersonal skills (verbal, written, and presentation).
Team player with the ability to handle multiple requirements independently.
Work Requirements

A personal laptop/desktop with good configuration.
High-speed internet connection.
Ability to work exclusively (No dual employment allowed).
Work Schedule

Timings: 9:30 AM 6:30 PM
Working Days: Monday to Saturday (2nd & 4th Saturday off).
Compensation

Fixed Salary: 10,000 18,000 per month (Gross).
Additional Benefits: Mobile bill reimbursement + Incentives.
Final salary will be decided after the interview process.
Selection Process

Online Test (Mandatory)
L1 Interview: Video Call
L2 Interview: Video Call
Document Submission
Background Verification (BGV)
Location: Open to candidates across India (Remote).


Company Details:

Orcapod is an IT industry-focused Staffing & Recruitment company founded by senior industry professionals coming from reputed international companies. Orcapod has a top-class client base in the Indian IT industry. Orcapod is a fast-growing organization and has operations in Bangalore, Hyderabad, Mumbai, Pune, and NCR. We have a track record of growth and profitability across the 10 years since our inception."
7,It Recruiter,"Sourcing Profiles, End To End Recruitment, Screening","We are looking for a dynamic and results-driven US IT Recruiter to join our talent acquisition team. The ideal candidate will have experience in end-to-end recruitment processes for US clients, especially within the IT domain.

Key Responsibilities:

Handle the full recruitment cycle: sourcing, screening, interviewing, negotiating, and closing candidates.
Work on W2, C2C, and 1099 employment types.
Source candidates using job boards like Dice, Monster, CareerBuilder, and social platforms like LinkedIn.
Coordinate with hiring managers and understand job requirements.
Maintain a strong pipeline of qualified candidates.
Schedule interviews and follow up with candidates and clients.
Maintain ATS and prepare regular recruitment reports.
Requirements:

3 to 5 years of experience in US IT recruitment.
Strong knowledge of US work authorizations (H1B, GC, USC, TN, etc.).
Hands-on experience with sourcing and screening tools.
Excellent communication and negotiation skills.
Willingness to work in night shifts.
Good to Have:

Experience working with implementation partners or direct clients.
Familiarity with tax terms and visa classifications.
Benefits:

Competitive salary + incentives
Health insurance (if applicable)
Friendly and supportive team culture"
8,Team Lead- IT Recruitment,"IT Recruitment, Team Leading, IT Hiring, Technical Recruitment","Requirements:

• Supervise and mentor a team of recruiters, ensuring they meet individual and team goals.

• Build and maintain strong relationships with clients to understand their staffing needs.

• Ensure high levels of client satisfaction through timely and effective communication

• Develop and implement recruitment strategies to attract top talent.

• Present qualified candidates to clients, including comprehensive candidate profiles and assessments.

• Coordinate and facilitate client interviews, providing feedback and guidance to both parties.

• Track and report on recruitment metrics such as time-to-fill, cost-per-hire, and quality of hire.

• Identify areas for process improvement and implement enhancements to optimize efficiency.


Qualifications:

• Bachelor's degree in Human Resources, Business, or a related field (Master's degree preferred).

• Proven experience in the staffing industry with a track record of successful talent acquisition.

• Strong leadership and team management skills.

• Excellent communication and interpersonal skills.

• Knowledge of employment laws and regulations.

• Proficiency in using recruitment software and applicant tracking systems.

• Ability to work in a fast-paced, dynamic environment and adapt to changing priorities.
"
9,Lead It Recruiter,"IT Recruitment, Team Handling, End To End Recruitment, Technical Recruitment, Talent Acquisition","We are hiring for Lead IT Recruiter with below skill set:
Candidate Sourcing, Screening and Evaluation, Relationship Building, Job Posting and Advertising, Employer Branding. Team handling experience with minimum 2 yrs on paper."
10,Lead It Recruiter,"Domestic Staffing, IT Staffing, Technical Recruitment, Permanent Staffing","We're a human capital specialist firm, providing talent supply and talent management solutions to Big4s | Fortune & Global Enterprises | IT/ITES | Technology | Telecommunications | BFSI | Ecommerce | Intellectual Property | Innovative Start-ups.


On our panel, we have a unique mix of exhilarating professionals who come from different industry verticals and possess the expertise to deliver the best handpicked talent with a quick turnaround especially in case of hiring for niche as well as generic technology skillsets. Our wealthy domain as well as functional knowledge allows us to talk the same language with our clients and understand their business requirement clearly which, in turn, saves their time and provides the best in class valuable hiring solutions. Our firm remains on the cutting edge of recruitment trends. We stay well-informed and continually adapt to the ever-changing world of human resources. Our firm guarantees efficient, honest talent solutions that achieve

remarkable results.


Our consistent record of uncompromising ethics instills confidence and trust. Our consulting services focus on the client's most critical issues and opportunities in the talent space. We help companies manage their talent needs. We are a company that focuses on building talent ecosystem. We create, integrate and optimize the Talent Supply Chain for organizations.Who should join us:
The ideal candidate will have a combination of 4 aspects(i) Inclination to make a mark in the field of Human Resources (Talent Acquisition)(ii) Excellent relationship management / people engagement skills(iii) Superior communication skills(iv) Ability to work in tight deadlines


Job description:

Sourcing candidates using Job portals, social media etc.
Assessing the candidates as per the job mandate
Lining up of candidates for Interview
Follow up on the interview status and managing candidate pipeline
Managing the online job postings, social media presence etc.
Desired Experience: 5 Years - 7 Years5 years of experience in IT/ Technical Recruitment, working with Executive Search Firms / Staffing FirmsWill prefer candidates with good exposure to Technology / IT / Semiconductor / Telecom domain hiring


Benefits:

Work with tier1 clients
Best in class salary & incentives
Excellent work culture & environment
Learn with the leaders
5 days working
Day shift
Health / medical coverage / Insurance
Retiral benefits
Opposite to Noida electronic city metro station"
11,Lead It Recruiter,"Contract Hiring, IT Recruitment, C2H, IT Hiring, Technical Recruitment, IT Sourcing, Technical Hiring, IT Staffing, End To End Recruitment","We are hiring for an experienced Lead IT Recruiter to manage the end-to-end recruitment process. The ideal candidate should possess strong expertise in technical recruitment, team coordination, and client engagement. You will be responsible for managing the full recruitment cycle, mentoring junior recruiters, and ensuring timely and quality delivery of staffing requirements.


Key responsibilties:


Manage the end to end recruitment for IT positions across various technologies and domains.
Source, screen, and shortlist the candidates through various job portals like Naukri and LinkedIn.
Execute the entire recruitment cycle from understanding client requirements to candidate onboarding.
Lead and mentor a team of recruiters to achieve hiring goals and ensure high performance.
Conduct technical assessments, initial interviews and shortlist the candidates based on experience, technical knowledge and communication.
Handle offer negotiations, onboarding coordination and joining formalities.
Ensure timely closure of open positions while maintaining a seamless candidate experience.
Prepare and present weekly and monthly recruitment reports to management and clients.
Ensure adherence to organizational policies, compliance standards, and recruitment best practices.


Required skills:


4-5 years of experience in end to end IT recruitment.
Strong understanding of technical roles and skills.
Proven ability to lead a team and manage client requirements.
Strong exposure to Contract-to-Hire (C2H) hiring model.
Excellent communication, negotiation, and stakeholder management skills.
Ability to work on priorities in a fast-paced, target-driven environment."
12,Team Lead Recruitment,"IT Recruitment, Contract Hiring, Contract Staffing, IT Staffing, Contract To Hire, C2H, Contract Recruitment, Domestic Staffing, Technical Recruitment","Competent professional with over 6-9yrs of rich & extensive experience in Recruiting, Team handling, client coordination
Strong expertise in Head Hunting, Candidate Management and client management
Sharing requirements with the team on daily basis
Proven expertise in building and managing large scale Recruiting & Staffing Operations.
Ability to meet targets consistently .
Strong experience in Man Management by virtue of building and leading a large team.
Thorough understanding of the entire lifecycle of the Recruitment process, with proven working knowledge in client correspondence, acquisition and managementRole & responsibilities"
13,Lead It Recruiter,"End To End Recruitment, Vendor Management, IT Hiring, Contract Hiring, Client Handling, Contract Staffing, Negotiation, IT Recruitment, Sourcing, Technical Recruitment, Talent Acquisition, C2H, Permanent Staffing, Stakeholder Management","Job Title: Lead IT Recruiter

Department: Talent Acquisition / Recruitment

Location: Magarpatta, Pune

Experience: 6 to 10 years (with at least 2+ years in a lead role)

Employment Type: Full-time

Role Overview:

The Lead IT Recruiter will be responsible for managing end-to-end recruitment for IT positions across multiple technologies and domains. This role involves handling a team of recruiters, driving performance, building strong client and candidate relationships, and ensuring hiring targets are achieved within defined timelines and quality standards.

Key Responsibilities:

1. Recruitment Delivery

Manage the complete recruitment lifecycle — sourcing, screening, interviewing, negotiating, and onboarding IT professionals.

Handle mid to senior-level technical hiring across multiple tech stacks (e.g., Salesforce, Java, .NET, DevOps, Cloud, Data, Python, etc.).

Work extensively on C2C (Corp-to-Corp) and C2H (Contract-to-Hire) hiring models — experience in these is mandatory.

Ensure timely and quality closures of open positions for clients or internal projects.

Maintain a strong pipeline of qualified candidates using job portals, LinkedIn, networking, and references.

2. Team Management

Lead and mentor a team of recruiters; assign requirements, review progress, and ensure delivery targets are met.

Conduct regular performance reviews, provide feedback, and identify training needs.

Motivate the team to achieve daily, weekly, and monthly goals.

3. Client & Stakeholder Management

Act as a primary point of contact for client communication regarding recruitment needs and progress.

Understand client requirements and translate them effectively to the recruitment team.

Participate in client meetings and contribute to business growth through strong delivery and relationship management.

4. Process & Reporting

Maintain recruitment metrics like TAT, offer-to-join ratio, and closure rate.

Drive process improvements for better sourcing efficiency and candidate experience.

Generate weekly/monthly reports on team performance and hiring progress.

Required Skills & Qualifications:

Bachelor’s degree in HR, IT, or a related field.

6–10 years of experience in IT recruitment (Contract Staffing / Permanent Hiring).

Mandatory experience in C2C and C2H hiring models.

Hands-on experience in sourcing from Naukri, LinkedIn, GitHub, and other platforms.

Excellent understanding of IT skills, technologies, and market trends.

Strong negotiation, communication, and interpersonal skills.

Proven leadership experience in managing small to mid-sized recruitment teams.

Ability to work in a fast-paced, target-driven environment.

Familiarity with tools like Salesforce, ATS systems (e.g., Zoho, Bullhorn, JobDiva), and recruitment CRMs.

Good to Have:

Experience in vendor management or client coordination.

Prior experience in project-based or managed services hiring.Role & responsibilities"
14,Lead It Recruiter,"Performance management, Networking, Talent acquisition, Labour laws, Social media, Consulting, Market intelligence, Workforce planning, Stakeholder management, Recruitment","Team Lead IT Recruitment - Procain Consulting & Services Team Lead IT Recruitment Team Lead IT Recruitment
Job Summary:
We are seeking an experienced and dynamic Team Lead IT Recruitment to oversee and manage the end-to-end IT hiring process. The ideal candidate will be responsible for strategizing, leading, and executing recruitment operations, ensuring that top IT talent is sourced, engaged, and onboarded efficiently. This role requires strong leadership skills, deep knowledge of IT recruitment, and the ability to build and maintain strong relationships with stakeholders.

Key Responsibilities:
Leadership & Strategy: Lead and mentor a team of IT recruiters, providing guidance, support, and performance management. Develop and implement recruitment strategies to attract top IT talent.
Talent Acquisition: Oversee the full recruitment lifecycle, including sourcing, screening, interviewing, negotiating offers, and onboarding candidates for IT roles.
Stakeholder Management: Collaborate with hiring managers and senior leadership to understand talent requirements and workforce planning.
Process Optimization: Streamline and improve recruitment processes to enhance efficiency, candidate experience, and time-to-hire.
Sourcing & Networking: Utilize various sourcing techniques, including job portals, social media, employee referrals, and networking events, to build a strong talent pipeline.
Market Intelligence: Stay updated on industry trends, salary benchmarks, and emerging technologies to enhance recruitment strategies.
ATS & Reporting: Manage applicant tracking systems (ATS) and recruitment data analytics to track hiring metrics and optimize decision-making.
Compliance & Employer Branding: Ensure compliance with labour laws, company policies, and promote employer branding initiatives to attract top IT talent.

Requirements:
Strong knowledge of IT technologies and trends, excellent communication and negotiation skills, and the ability to handle high-volume hiring.

Tools:
Proficiency in ATS, LinkedIn Recruiter, and other hiring platforms.




Attributes :
Leadership, strategic thinking, problem-solving, and ability to work in a fast-paced environment.

Note:
As our office is relocating to Hoodi, it will be the new work location. Therefore, we are looking for candidates who are residing within 8 km radius from Hoodi."
15,Lead It Recruiter,"Recruitment, Contract Hiring, Contract Staffing, IT Staffing, IT Recruitment, Contract Recruitment, Domestic Staffing, Technical Recruitment","Job Responsibilities-

Competent professional with over 6-9yrs of rich & extensive experience in Recruiting, Team handling, client coordination
Strong expertise in Head Hunting, Candidate Management and client management
Sharing requirements with the team on daily basis
Proven expertise in building and managing large scale Recruiting & Staffing Operations.
Ability to meet targets consistently .
Strong experience in Man Management by virtue of building and leading a large team.
Thorough understanding of the entire lifecycle of the Recruitment process, with proven working knowledge in client correspondence, acquisition and managementRole & responsibilities"
16,Lead It Recruiter,"IT Recruitment, Contract Hiring, Contract Staffing, IT Staffing, Contract To Hire, C2H, Contract Recruitment, Domestic Staffing, Technical Recruitment","Competent professional with over 6-9yrs of rich & extensive experience in Recruiting, Team handling, client coordination
Strong expertise in Head Hunting, Candidate Management and client management
Sharing requirements with the team on daily basis
Proven expertise in building and managing large scale Recruiting & Staffing Operations.
Ability to meet targets consistently .
Strong experience in Man Management by virtue of building and leading a large team.
Thorough understanding of the entire lifecycle of the Recruitment process, with proven working knowledge in client correspondence, acquisition and managementRole & responsibilities"
17,IT Recruiter,"IT Recruiter, Domestic Staffing, Technical Recruitment, Talent Acquisition","Role Description

This is a full-time on-site role for an IT Recruiter located in Hyderabad. The IT Recruiter will be responsible for full-life cycle recruiting, IT recruitment, hiring, and technical recruiting on a day-to-day basis.

Qualifications

Full-life Cycle Recruiting and Technical Recruiting skills
IT Recruitment expertise
Experience in hiring processes
Knowledge of recruitment strategies and practices
Strong communication and interpersonal skills
Ability to work effectively in a fast-paced environment
Bachelor's degree in Human Resources, Business Administration, or related field
Certifications in recruitment or HR would be a plus
Good communication skillsStrong experience in contract staffing.Sound knowledge on IT Technologies"
18,Lead IT Recruiter,"Networking, Social media, Programming, Mentor, HR, Management, Stakeholder management, IT recruitment, Recruitment","Key Responsibilities:

Own and lead the full-cycle recruitment process for mid-to-senior level IT roles across various verticals.

Partner closely with business leaders to understand talent requirements.

Manage, mentor, and support a team of recruiters to ensure target achievement and quality hiring

Develop and implement effective sourcing strategies to attract passive and active talent using job boards, LinkedIn, employee referrals, social media, and networking

Conduct initial screenings, evaluate technical and cultural fit, and manage interview coordination and feedback process

Build and maintain strong candidate pipelines and talent communities for niche and hard-to-fill roles








Requirements:

Bachelor s degree in Human Resources, IT, Business, or related field

6+ years of experience in IT recruitment with demonstrated leadership or team lead responsibilities

Strong knowledge of technical roles, tools, and programming languages.

Excellent communication, stakeholder management, and negotiation skills

Ability to manage multiple requisitions and meet deadlines.

Experience in preparing recruitment metrics and dashboards"
19,Talent Acquisition Specialist,"TA, Recruitment, Talent Acquisition, Technical Hiring, Lateral Hiring, IT Recruitment, Hiring, Sourcing, Bulk Hiring, IT Hiring, Talent Sourcing, Technical Recruitment","Position: Talent Acquisition Specialist (IT/Non-IT)

Department: Talent Acquisition

Type of employment: FTE

Experience: 6-7 years

Qualification: Graduate/post-graduate in Human Resources

Location: Bangalore/Hyderabad

Shifts: 12:00 PM onwards (candidate should be flexible to work as per the business requirement)


About Us:

Aeries Technology is a Nasdaq listed global professional services and consulting partner, headquartered in Mumbai, India, with centers in the USA, Mexico, Singapore, and UAE. We provide mid-market companies with the right mix of deep vertical specialty, functional expertise, and the right systems & solutions to scale, optimize and transform their business operations with unique customized engagement models. Aeries is Great Place to Work certified by GPTW Institute India, reflecting our commitment to fostering a positive and inclusive workplace culture for our employees.

Read about us at https://aeriestechnology.com/careers/


Key Responsibilities

Strategic Talent Acquisition Leadership

Develop and implement the talent acquisition strategy for IT/Non-IT recruitment, aligning with the companys goals and growth plans.
Collaborate with senior management and department heads to understand current and future hiring needs in the IT/Non-IT domain.
Set clear recruitment goals and ensure the recruitment team meets targets for time-to-fill, candidate quality, and cost-per-hire.
Team Leadership & Mentorship

Lead and mentor a team of IT/Non-IT recruiters, providing guidance, support, and training to ensure high performance and continuous development.
Foster a collaborative and high-energy environment that motivates recruiters to deliver top-tier talent while improving their skills.
Manage recruiter workload, prioritize assignments, and ensure effective allocation of resources to meet recruitment needs.
Full-Cycle Recruitment

Oversee the full-cycle recruitment process for IT/Non-IT roles, including job requisition, candidate sourcing, screening, interviewing, offer negotiation, and placement.
Directly handle complex, senior, and high-priority IT/Non-IT roles, ensuring a personalized and effective recruiting approach.
Develop and maintain a network of candidates for immediate and future needs, including passive talent pools.
Candidate Experience & Employer Branding

Enhance and maintain a positive candidate experience by ensuring timely communication, clear expectations, and a seamless recruitment process.
Work with marketing and HR to build and promote the employer brand through job postings, career fairs, social media, and networking events.
Conduct interviews and ensure the companys values and culture are clearly communicated to potential candidates.
Process Improvement & Reporting

Continuously evaluate and improve the recruitment process, identifying opportunities for efficiency, candidate quality, and speed of hiring.
Ensure the use of best practices, tools, and technology to streamline the recruitment process and enhance data tracking and reporting.
Provide regular updates to senior leadership on recruitment metrics, challenges, and successes, recommending strategies for improving recruitment outcomes.
Sourcing & Market Research

Utilize a variety of sourcing methods, including LinkedIn, job boards, employee referrals, and recruitment agencies, to build a diverse talent pipeline.
Stay up to date on industry trends, technology advancements, and competitive hiring practices to effectively source candidates for critical IT/Non-IT roles.
Conduct market research to understand compensation trends, talent availability, and skills demand in the IT/Non-IT field.
Vendor and Stakeholder Management

Manage relationships with external recruitment agencies and vendors, ensuring that they meet agreed-upon terms and deliver high-quality candidates.
Liaise with hiring managers and senior leaders to gather feedback, refine job descriptions, and tailor the recruitment strategy to meet business needs.
Compliance & Legal Requirements

Ensure that recruitment practices comply with relevant labor laws, company policies, and best practices for data protection.
Oversee background checks, reference verification, and other compliance-related tasks for candidates.

Requirements

Experience:

Minimum of 6-7 years of full-cycle recruiting experience (from requisition till onboarding), with at least 8 years in IT/Non-IT recruitments
Proven track record in recruiting for a variety of technical and non technical roles, including leadership positions.
Experience leading or mentoring a team of recruiters, with demonstrated success in coaching and improving team performance.
In-depth understanding of IT/Non-IT roles and technical/Non technical skills across.
Expertise in various recruitment methods and platforms, including LinkedIn Recruiter, job boards, networking events, and advanced sourcing techniques.
Strong interviewing, assessment, and negotiation skills with an ability to manage both client (hiring manager) and candidate expectations.
Exceptional communication and interpersonal skills, with the ability to collaborate with all levels of the organization.
Ability to make data-driven decisions, using recruitment analytics to inform strategies.
Should have good Experience with PPT and Dash Boards and Excel
Should be able to analyze issues and provide resolutions

Education:

A bachelors degree in human resources, Business Administration, or a related field.
Additional certifications in HR or recruitment (e.g., SHRM, AIRS) are a plus."
20,IT Recruiter,"IT Recruitment, Sourcing Profiles, Interview Coordination, Screening, Contract Staffing, End To End Recruitment, Salary Negotiation, C2H, Sourcing, Shortlisting, Job Posting, Interviewing","Skill set: 2+ Years of experience in recruiting resources on various software fields. Searching candidates as per JD, recruiting them
Hands on experience in IT Recruitment and C2H hiring
Mode of Interview: F2F at our kolkata office"
21,IT Recruitment Specialist,"C2H Staffing, Contract Staffing, IT Staffing, Contract To Hire, Salary Negotiation, Domestic Staffing, Technical Recruitment","Job Summary:

The IT Recruiter will be responsible for identifying, sourcing, and recruiting IT professionals for various technical roles. The recruiter will collaborate with hiring managers to understand staffing needs, source and assess candidates, and manage the entire recruitment cycle from initial contact to on boarding.

Key Responsibilities:

Sourcing Candidates: Utilize job boards, social media platforms, professional networks, and employee referrals to identify qualified IT candidates.
Screening and Shortlisting: Review resumes, conduct phone screenings, and assess candidates' skills, experience, and cultural fit for open IT positions.
Interviewing: Coordinate interviews between candidates and hiring managers, and assess technical capabilities through behavioral and technical interviews.
Candidate Management: Maintain a strong pipeline of candidates for current and future IT openings.
Offer Negotiation: Extend job offers, negotiate salary packages, and manage candidate expectations.
Onboarding: Ensure a smooth onboarding process for new hires, ensuring proper documentation and compliance with company policies.
Relationship Building: Build and maintain relationships with potential candidates and recruitment agencies.
Reporting: Maintain accurate recruitment records and provide regular reports on recruitment metrics.
Requirements:

Experience: 2+ years of experience in recruiting IT professionals (preferably for software development, IT infrastructure, or other technical roles).
Skills: Strong knowledge of IT job functions and technical terminology. Proficiency in using recruitment tools like LinkedIn, job boards, and applicant tracking systems (ATS). Excellent communication, negotiation, and interpersonal skills. Ability to assess candidates' technical and soft skills.
Education: Bachelor's degree in Human Resources, IT, or related field (preferred).
Desired Attributes:

Ability to work in a fast-paced environment.
High attention to detail and organization skills.
Ability to handle sensitive and confidential information.
Strong interpersonal skills and the ability to work with diverse teams."
22,Team Lead,"IT Recruitment, Leadership Hiring, Technical Recruitment, Client Management, Team Handling, Sales, Pnl Management, Revenue Generation","Team Lead - Recruitment sales

Location: Remote

Job Type: Full-time

Department: Recruitment sales

Salary: 6.5LPA to 12LPA (+ 4lakh Performance based variable)


Roles and Responsibilities-

Consulting Leadership:

Led and managed a team of 5 to 8 consultants, ensuring high-performance levels and client satisfaction.
Provide strategic guidance to the team in delivering effective consulting services.
Client Engagement:

Acquire, Cultivate, and maintain strong relationships with B2B clients.
Understand client needs and collaborate with the team to develop tailored solutions.
Team Development:

Foster a collaborative and innovative team culture.
Identify training and development needs for team members and provide coaching and mentoring.
Market Research and Analysis:

Stay abreast of industry trends, regulations, and market developments.
Conduct market research and analysis to identify opportunities for business growth.
Identify opportunities for revenue growth and cost optimization.
P&L Management:

As a Team Manager, you will be responsible for generating revenue for oneself and the Team.
Accountability for achieving monthly/quarterly revenue.

The Successful Candidate-

MBA in any field.
We are open to considering candidates with diverse experiences and backgrounds; however, the candidate must fulfill the below criteria:
Minimum 8 years of experience in handling large teams & generating excellent results while building relationships with clients & internal
stakeholders.
Work experience highly recommended from a Leadership Hiring, Executive Search, or Consulting firm.
Should be in a Team Managing Role with managing 5 to 8 consultants.
Excellent communication/ presentation skills."
23,Recruitment Team Lead,"Recruitment, Team Handling, Contract Staffing, IT Staffing, IT Recruitment, Contract To Hire, recruitment lead, C2H, lead recruiter","We are looking for Domestic lead Recruiter, who is strong on Contract Staffing


Experience in end to end IT Recruitment


Need to handle a team of minimum 5 recruiters and work towards target

Exp: 6-9 Years

A Recruitment Team Lead oversees a team of recruiters, leading them to meet hiring targets by developing strategies, managing the full recruitment cycle, and ensuring a positive candidate experience.
Key responsibilities include collaborating with hiring managers, mentoring the team, tracking recruitment metrics, and ensuring compliance with employment laws.

WFO - 5 Days a week

Note : we will not hire any senior resources more than 12+ Years and US IT Staffing back ground"
24,Talent Acquisition Specialist,"Technical Recruitment, Recruitment, Technical Hiring, IT Recruitment","Role & responsibilities


About the Role

We are seeking an experienced Talent Acquisition Recruiter to join our team and support hiring for critical roles within our Data Center. The ideal candidate will have a strong background in sourcing, stakeholder engagement, and vendor management, ensuring a seamless recruitment process aligned with business needs.


Key Responsibilities

End-to-End Recruitment: Manage the full recruitment lifecycle for technical and non-technical roles within data center operations.
Sourcing Strategy: Develop and execute innovative sourcing strategies using job boards, social media, networking, and talent mapping to attract top talent.
Stakeholder Management: Partner with hiring managers and business leaders to understand workforce requirements and provide consultative recruitment support.
Vendor Management: Coordinate with external recruitment agencies and vendors to ensure timely delivery of quality candidates.
Pipeline Building: Maintain a strong talent pipeline for niche and critical roles.
Compliance & Reporting: Ensure adherence to company policies and legal requirements; maintain accurate recruitment metrics and dashboards.
Employer Branding: Promote the organizations brand through recruitment campaigns and candidate engagement initiatives.

Required Skills & Qualifications

Experience: 5 – 10 years in Talent Acquisition, preferably in technology or data center environments.
Proven expertise in sourcing for niche technical roles.
Strong stakeholder management and communication skills.
Experience in vendor management and negotiating terms.
Familiarity with ATS systems and recruitment analytics.
Ability to work in a fast-paced, dynamic environment.

Preferred Qualifications

Exposure to data center hiring or similar technical domains.
Knowledge of current market trends and talent availability in the tech industry."
